Gene	Hits	Length
METTL15	11	225257
EGR4	0	2773
EHHADH	5	63475
MPZL3	1	22676
IMMP1L	10	77221
OR56B4	0	960
KRT78	1	10033
RILPL2	2	21329
DNAH10	2	173226
AMN1	5	58038
EIF1AX	0	17331
DTX3	0	4980
METTL7B	0	3065
LINC02909	0	4089
ZFC3H1	2	54371
PLBD2	0	31088
GARIN6	0	2365
RMST	7	99995
EEF2KMT	0	13489
EIF2S1	2	26200
PIANP	1	7053
DCP1B	5	62921
ANO6	7	224418
ARID2	8	178200
EEF1DP3	8	112802
EIF2B1	0	12754
VSTM4	5	101227
PAOX	1	12458
FAM24B	1	30548
EIF2S3	2	23863
LINC00638	0	2518
ADCY4	2	16723
EPHA2	0	31751
LINC01599	2	8993
FAM227B	25	292527
DNM1P46	2	16772
CT62	1	5257
GRAMD2A	1	37990
MGC15885	1	8010
UBR1	10	163189
LINC00311	0	5122
FCSK	1	25680
ZNF778	0	11855
ACSF3	2	61955
WDR90	0	18467
EME2	0	3112
NLRC3	2	38357
NSMCE1	1	43799
EIF4A2	0	6325
ZNF48	0	21797
EIF4B	1	35932
EIF4E	2	52180
EIF4EBP1	0	29864
EIF4EBP2	2	24514
EIF4G1	1	20864
EIF4G2	1	11990
EIF5	0	11023
LKAAEAR1	0	980
CELA1	2	18237
SERPINB1	0	9718
DZIP1L	2	53625
TTC21A	0	31243
ELAVL1	0	47073
ELAVL4	12	153855
MCEMP1	0	2777
ZNF627	0	21740
DAND5	0	9595
ELF1	3	87454
ZNF585A	1	22615
NLRP7	2	42735
GGN	0	3677
CADM4	0	17470
THAP8	2	19778
U2AF1L4	0	2909
NIBAN3	5	30539
ELF2	7	81781
ADM5	0	2306
LCE4A	0	388
ALG14	5	90229
FAM76A	3	36934
LINC00466	13	158148
ELF3	0	9243
TMEM201	0	26004
TMEM61	0	11502
CYP4Z1	4	50833
A2M	6	48255
ABCA2	0	21689
ELF4	0	45794
CDCP2	0	14012
SLC5A9	0	25960
CC2D1B	0	15613
NUDT17	0	2943
NA	0	2716
TXLNA	1	18542
ELF5	0	35006
DYNLT5	0	26591
PLD5	31	436310
SPAG17	19	231561
SLFNL1	0	6159
KRTCAP2	0	3921
CRTC2	0	10985
TMEM51-AS1	1	40650
ELK1	1	15085
IBA57	0	16530
FAM209A	0	1424
LINC00656	1	7569
ELK2AP	0	4706
APOBEC3A	0	5662
APOBEC3F	0	15303
FOXD4L1	0	2067
CFAP221	9	112230
ELK3	12	73400
VWA3B	8	225816
CREG2	2	39150
ALMS1P1	2	40649
TEX37	0	4935
ANKRD23	0	6108
APLF	11	163166
ELN	0	41810
TMEM17	4	35425
SPRED2	5	121672
TIGD1	0	2505
UICLM	0	12833
ALG1L1P	0	7770
CFAP20DC	26	324472
KCTD6	2	10265
LIPH	0	44800
EML1	10	204327
HTR3D	0	7826
RPL22L1	1	5381
SLC51A	1	16919
FBXO45	0	20206
KLHDC8B	0	4902
MUC20	0	16788
GABRR3	3	48622
EMD	0	2287
CEP112	33	556555
DHRS7C	2	19864
TVP23C	4	61368
FLCN	0	24976
PLD6	0	36194
ZNF385C	0	12451
SAMD14	0	18574
EMP1	1	20107
LYRM9	0	15070
SLC16A13	0	4047
SPEM2	0	1952
CENPX	0	4207
LRRC45	0	7748
SLC39A11	12	446769
AMZ2P1	0	9036
TRIM65	0	8044
RDM1	1	12696
EMP2	1	52261
SPNS3	0	54281
EMP3	0	5182
RAB12	1	29938
DLGAP1-AS3	1	18890
ADGRE1	1	52905
ZBTB7C	15	382025
ZNF584	0	9630
ZSCAN4	1	10218
HACD2	4	90562
STT3B	8	103066
EMX1	0	17417
LINC00870	1	23083
DNAH12	6	202345
PDE12	1	5788
DENND6A	4	67636
TIGIT	0	16982
AADACP1	0	14439
CTTN	1	38079
C4orf46	1	5581
SLC10A4	0	6182
TIGD4	1	10411
TMEM154	3	54052
EMX2	1	7102
EN1	0	6013
TMEM192	2	36795
RWDD4	0	19543
EN2	0	6703
TAPT1	4	66034
TAPT1-AS1	0	31525
SPATA24	0	7522
DNAJC18	0	29323
RANBP3L	4	52908
LOC202181	3	53778
ENG	0	39762
CCDC125	2	52102
LINC01554	1	7901
ENO1	1	18093
GAPT	0	4856
CMYA5	10	110391
STK32A	9	149663
TCTE1	0	17562
ENO2	0	9246
ENO3	0	6043
PAXIP1-DT	0	2271
ENPEP	5	87265
C7orf33	2	25296
ENSA	0	7500
TMEM184A	2	14196
AK1	0	11264
SLC29A1	0	14647
ADCK5	0	20723
TSNARE1	17	191103
R3HCC1	0	8181
PRSS55	0	28621
C8orf74	0	27957
HTRA4	0	14514
ADAM32	5	177387
ERICH5	2	29089
TMEM268	1	34998
C9orf72	1	27322
CCDC171	25	419026
NAIF1	0	6088
FAM219A	4	60387
ANKS6	4	65184
EPAS1	5	89302
CT83	0	1342
SLC25A43	3	55180
RTL3	0	3260
NRK	13	136067
EPB41	13	232956
INTS6L	3	61906
ZNF449	1	19711
VMA21	0	12180
TMEM31	1	3124
PAGE2	1	3764
EPB41L2	20	223975
EPB42	1	23898
DMTN	2	28956
AK2	5	28972
STOM	3	31317
RPSAP52	4	68955
EPHA1	0	17781
EPHA3	25	374611
CERS3	8	144326
EPHA4	11	154264
EPHA5	22	350373
PDILT	2	45542
EPHA7	7	179561
EPHB1	21	465209
EPHB2	6	204493
NLRP11	3	51366
HIPK1	5	48496
EPHB3	1	20610
SLC44A5	37	475795
AK4	5	84597
EPHB4	0	24957
EPHB6	1	16056
AMER3	0	12631
EPHX1	1	35466
MTLN	2	11411
EPHX2	4	53921
C2orf69	0	17018
DIPK2A	2	20571
SENP5	5	66858
EPO	0	2901
EPOR	0	7138
USF3	5	48261
EPS8	8	169436
EPS15	8	165061
NR2F6	0	13458
LVRN	3	65149
SLC36A1	2	55388
C6orf163	2	20611
PIP5K1P1	0	4243
ERBB4	99	1162911
ERCC1	1	71496
ERCC2	0	19197
EREG	1	23618
AKT1	1	26394
EYA4	28	291523
SFTA1P	0	10476
ERCC4	2	32192
ERCC5	1	30161
ERG	15	294522
ERH	2	18182
ERN1	3	87113
ERV3-1	0	16392
FBL	0	11962
ESD	3	25977
ESR1	27	446579
ABCA3	0	64869
ALAD	1	15027
ESR2	10	111518
ESRRA	0	11167
ESRRB	7	130491
ESRRG	59	634510
ETF1	0	37208
ETFA	5	95182
ETFB	0	21264
ETFDH	2	36565
ETS1	7	128798
ETS2	0	19648
ETV1	2	100195
ETV2	0	3127
ETV3	0	13925
ETV4	1	18590
ETV5	5	62796
ALAS2	0	22010
EVC	6	117849
MECOM	49	580277
EVI2B	0	10343
EVPL	0	20581
EVX1	0	4029
EWSR1	0	32518
EXT1	25	312457
EXT2	7	169905
EXTL1	1	14684
EXTL2	1	22808
EXTL3	2	52218
EYA1	14	164800
ALCAM	14	210201
EYA3	7	118294
EZH1	0	44779
F2	0	20314
F2RL1	1	16308
F2RL2	0	7953
F5	5	74578
F7	0	14894
F9	3	32723
F10	1	26731
F12	1	7439
F13B	1	28077
FAAH	0	19582
FABP4	2	4742
FABP1	0	5143
FABP2	0	4912
ALDH2	2	43099
FABP3	0	7824
FABP5	0	4295
FABP6	3	51356
FABP7	1	4573
FANCA	5	79107
FANCC	3	218656
FANCD2	2	75502
FANCE	0	14744
ALDH3A1	0	10449
ACSL1	3	70467
ACSL3	4	82388
ACSL4	3	92058
FAH	0	33794
PTK2B	10	147910
FANCB	5	29656
FANCF	1	3309
FANCG	0	6179
ALDH1B1	0	6002
FAP	5	72846
FBLN1	3	98296
SAMD9L	1	18313
FARSA	0	11275
USP12	5	105747
TMEM254-AS1	2	32961
FASN	0	19893
MTIF3	1	14964
OR4C16	0	933
OR4C11	0	1045
OR4S2	0	936
OR4C6	0	930
OR5D14	0	945
OR5L1	0	936
OR5D18	0	942
OR7E5P	1	7703
OR5AS1	0	975
OR8K5	0	924
OR5T2	0	1080
OR8H1	0	936
OR8K3	0	939
OR8J1	0	1074
OR8U3	0	975
OR5M3	0	1051
OR5M11	0	918
OR5AR1	0	933
FAT1	11	138914
OR5AK4P	0	927
SMTNL1	1	7634
YPEL4	0	4858
TEX47	0	1612
ZNF804B	45	577594
FOLH1B	1	39422
FAT2	6	64853
CABCOCO1	12	103373
TMEM26	4	46808
ZCCHC24	0	63301
ENKUR	6	80301
ARMC3	6	109561
UNC5B	6	90344
FAU	0	1574
PROSER2-AS1	1	45103
STOX1	3	67916
FAM241B	0	3353
TYSND1	2	8760
ZNF25	0	26659
GJD4	0	3526
CCNY	13	324895
RTKN2	2	85673
TBATA	0	14163
KCNJ5-AS1	0	6667
HYLS1	2	17033
TMEM218	0	17394
OR8B12	0	933
OR10G8	0	936
OR10G9	0	936
OR10S1	0	996
OR6T1	0	972
TBCEL	2	65552
FBLN2	1	106099
TLCD5	0	8551
MRPL21	0	12558
TPCN2	0	41723
SPATA19	0	4876
OR6Q1	0	954
OR9I1	0	945
OR9Q1	6	157686
OR9Q2	0	1085
OR1S1	0	978
OR10Q1	0	1037
OR5B21	0	930
MPEG1	0	4512
OR5A2	0	975
OR5A1	0	948
OR4D6	0	945
PATL1	1	32320
OOSP2	1	7769
FBN1	20	237483
VWCE	3	37031
PPP1R32	0	9816
SHANK2-AS3	0	2326
LRTOMT	2	30452
ERICH6B	5	74443
FAM124A	2	61908
SKA1	1	19147
DOK6	35	448039
EFEMP1	7	58202
ATOH7	0	1519
OTUD1	0	3113
OAF	1	18904
TIGD3	0	2801
FAM181B	0	1861
CCDC89	0	2428
FCAR	0	16290
CTAGE10P	1	2972
RNF152	3	78001
FCER1A	0	18509
USP32P2	1	30659
MS4A2	4	9804
FCER1G	0	3952
SDHAP4	0	34767
FABP5P3	0	6121
FCGR1A	0	9825
ZEB1-AS1	1	2568
SLC16A9	4	59128
ZNF22-AS1	1	3325
TMEM72-AS1	7	148666
HNRNPA3	0	11264
ALDH3B1	1	20696
NA	5	128452
REEP3	11	103761
JMJD1C	14	298735
UCMA	0	12562
RPP38-DT	0	1935
FAM171A1	7	159415
SLC39A12	9	91454
NSUN6	4	106287
ARL5B	0	18628
LRRN4CL	0	3498
HNRNPUL2	1	14761
ALKBH3	2	39469
SKA3	3	23008
MICU2	8	111528
SPATA13	21	342831
CPNE2	2	55424
ADGRG5	0	34534
PRSS54	1	15051
FCGR2A	1	14156
CES5A	6	109878
LINC00305	10	69018
CCDC162P	1	13918
AK9	13	198357
NT5DC1	12	144855
FCGR2B	0	15540
CALHM4	3	29856
ZUP1	3	33193
FAM162B	1	13527
TBC1D32	17	255018
OPN5	3	44342
ADGRF4	5	36158
ADGRF5	8	102434
FCGR3A	0	8863
SPATS1	2	104102
LINC03040	0	5358
RSPH9	0	25982
LRRC73	0	3379
TREML5P	0	213
ADCY10P1	7	39801
OARD1	1	5738
KIF6	27	390306
TMEM217	4	45978
FGD2	0	23423
PI16	2	16575
C6orf89	0	57095
ARMC12	0	11830
SMIM29	0	2748
LEMD2	0	17917
FCGR3B	0	8766
ZSCAN12P1	0	4909
H2AC1	0	500
KDM1B	3	68466
RBM24	1	12291
RNF182	3	55564
PHACTR1	44	571039
FCGRT	0	14150
SMIM13	2	44704
SYCP2L	15	226547
LINC00518	0	7038
ZSCAN25	7	121561
FAM200A	0	12193
FKTN	5	82989
VWDE	5	73344
PRPS1L1	0	1087
POLR1F	0	13576
HOXA11-AS	1	3886
JAZF1	21	350245
FCN1	0	8376
PPP1R35	0	1183
GPC2	0	7762
BRAT1	0	17949
SDK1	28	967552
FOXK1	2	127687
MMD2	4	66969
DAGLB	0	75103
CCZ1B	0	27361
THSD7A	38	461763
ALDH3B2	1	19053
FCN2	0	6709
VSTM2A	2	26930
DKFZp434L192	0	1062
TMED4	0	3066
DKFZP586I1420	0	2745
MTURN	2	27830
SRRM3	3	85390
RSBN1L	5	83378
FDFT1	2	43737
ELAPOR2	14	182792
LRWD1	0	8223
FBXL13	15	261981
NAPEPLD	3	49985
ATXN7L1	19	271811
CDHR3	6	159611
BEND7	6	64493
HS3ST5	22	286791
GPRC6A	3	36951
RFX6	6	54951
SLC35F1	31	410151
FAM83B	8	98329
ADGRF2	6	41312
TSPO2	0	1840
KCTD20	3	47772
PXT1	4	52338
LHFPL5	1	18782
SCUBE3	0	36420
NKAPL	0	1662
TOB2P1	0	3592
FAM217A	2	36884
TMEM130	1	23563
FERD3L	0	640
RPL23P8	0	523
NYAP1	0	10875
SLC29A4	0	21144
RSPH10B	0	44538
ALDH9A1	0	36452
ITPRID1	11	144650
ZNRF2	6	83386
FEN1	0	4606
GPC4	8	114142
ALDH3A2	1	28845
FER	29	439851
FGB	3	9784
FGF3	0	9457
FGF4	0	2375
ABCD2	7	68822
FGF5	2	24430
FGF6	0	11473
FGF7	6	64149
FGF8	0	10240
FGF9	2	33426
FGF10	11	83688
FGF11	0	6660
MAPK15	0	6127
FGF12	39	588207
FGF13	36	573452
FGF14	36	680920
ALDOA	1	17331
FGFR1	1	57697
FGFR3	1	15561
GPC5	135	1468553
FGFR2	3	120129
FGFR4	0	11206
FGG	1	8617
FGL1	0	45975
FGR	0	22927
FH	0	22229
FHIT	96	1502098
FHL1	2	64658
FHL3	0	8746
VEGFD	3	38823
NID2	4	64427
COG2	4	51530
TFEC	11	224749
LAMB4	6	106806
RRAS2	3	86587
ITGA11	2	130451
CLCA4	1	33674
XRN2	5	86522
IKZF3	7	106474
IKZF2	8	151923
MRAS	2	57888
ATF5	0	5235
COPZ1	1	26762
FKBP1AP1	0	2164
HSPA4L	1	51074
PUF60	0	13043
SCAF8	5	100683
CEP162	7	103376
ZFP30	2	22980
RHOBTB3	6	78735
COBLL1	14	157421
RNF44	0	11327
DLGAP4	6	262738
RAB11FIP2	2	41688
PPM1E	13	229311
FRMPD1	6	95850
DOLK	0	2204
VASH1	0	21129
ZNF507	2	42060
AAK1	9	185851
CPEB3	12	242479
ADNP2	1	31314
ANKRD26	8	96383
LMTK2	5	102748
NTNG1	42	341847
CHSY1	9	76210
CILK1	3	60503
FKBP2	0	3195
FNDC3A	19	233868
ATG14	1	45468
R3HDM2	5	181435
SLITRK3	0	9962
FASTKD2	0	30800
ZNF510	1	22192
FKBP3	3	19208
NLGN1	80	884873
DZIP1	2	66505
PLEKHA6	8	141079
ENPP4	0	16736
MLXIP	3	112316
TRAPPC8	10	113964
MORC2	1	41588
ANKRD6	9	200657
CLSTN1	1	95472
WDR37	4	82760
ABLIM3	11	118948
FOXJ3	14	159339
UBOX5	0	52338
KHDC4	1	21353
FKBP5	8	155036
ZBTB1	3	29706
ZNF365	32	412856
BAHD1	1	28522
DIS3	2	26805
RPH3A	17	323784
CEP164	1	91489
DENND3	0	67187
ARHGEF15	1	12279
ALDOB	0	15221
FOXG1	0	3206
CARD8	2	52799
ARSG	8	161678
RUFY3	5	103683
BTBD3	1	35767
SBNO2	0	66650
EPN2	3	99339
TRAK1	5	134637
DHX30	2	47288
SACM1L	3	56147
FAN1	2	39256
WDR47	3	72013
RALY	1	89534
KLRK1	2	19539
MMRN1	4	59778
NCBP2	0	7192
ZP1	0	8150
CD93	0	6985
MAPRE1	2	30513
KIFAP3	20	153410
MSRB2	0	26516
MAPRE3	5	56563
PLA2R1	7	121867
ATF6	11	197827
HABP4	1	41205
RAB18	3	38064
POMZP3	0	17318
SIRT2	1	21308
RPIA	3	59277
SNW1	5	43554
FOXF1	0	3938
DKK1	1	3377
KIN	0	37066
PTGR1	4	50134
FOXF2	0	5764
SLC4A1AP	3	31510
CYP2G1P	1	9683
P2RX2	0	3570
LAMB2P1	0	1543
TPX2	2	62700
PAXIP1	1	59283
AKR7A3	0	6224
NT5C2	8	105290
EFR3B	3	117032
FOXD4	0	2187
TCF25	1	37799
NINL	5	132816
MAST1	1	36508
PDCD11	3	49608
ACIN1	1	37050
SORCS3	29	624135
MYH15	16	148954
FOXI1	0	3813
PCNX1	15	207978
KDM2A	11	138811
HMGXB3	2	52538
CEP131	0	33359
CEP152	2	73209
TTC39A	0	57856
IGSF9B	1	48130
LIMCH1	27	339258
RIMS1	40	516440
ALDOC	0	3819
FOXL1	0	3190
WDFY3	23	296852
DAAM1	5	182743
MAPKBP1	1	53422
PLCH1	11	224327
FOXE3	0	1981
RAB21	0	32493
STK38L	11	81813
SPEN	3	92592
FBXO21	2	46716
FAIM2	2	37082
CNOT1	4	109941
FOXJ1	0	4966
SNRNP200	0	31234
PALLD	29	431392
TMCC1	14	245785
PDZRN3	13	242421
UNC13A	0	86914
MYO16	51	611856
KDM1A	3	64244
RBM34	0	30275
FOXC2	0	1681
KDM4B	3	184485
MAST3	0	53897
USP33	6	63891
DOP1A	12	103681
SAMD4A	12	225704
PHLPP2	6	85978
ZNF292	8	110856
PDZD2	22	471522
WDTC1	2	74118
XPO7	5	86917
FOXE1	0	3461
MYT1L	25	542161
MON2	6	130767
PDXDC1	6	164598
TNIK	26	397906
KIF21B	0	54315
PDS5B	9	191595
FNBP1	5	156008
SMG1	4	121552
FOXM1	0	19475
ZHX3	7	139154
ENDOD1	4	42842
ZSWIM8	1	16175
NCOA6	10	110856
NMNAT2	6	170263
CLUAP1	0	38107
FOXD2	0	4675
ZNF609	10	186648
TBC1D9B	1	45786
GGA2	1	46953
WAPL	7	86529
SETX	4	93546
EMC1	1	35896
CAND2	0	38143
SETD1B	2	27925
FOXS1	0	1318
CMTR1	3	48378
ERP44	11	119868
HECW1	19	450741
BLTP3B	7	105780
SWAP70	3	88880
RRP1B	0	36529
MYCBP2	24	282386
VWA8	21	394261
FOXO1	12	192604
AVL9	32	543861
PPRC1	0	17304
ERC1	36	504696
TRIM35	1	26431
ZNF423	10	367316
ZC3H13	10	97090
ARHGAP26	20	458281
TTLL5	17	293875
SIPA1L3	11	301141
KIF1B	12	170898
IQSEC2	4	88465
CDK19	13	205657
SARM1	2	43379
ZBTB43	1	33203
AKR1B1	0	16782
FOXO3B	0	7259
MCF2L2	17	250025
TBC1D2B	3	82668
FSTL4	9	416072
MRPS27	7	100849
RAP1GAP2	8	241304
DDN	0	4156
SPART	1	68543
TNRC6B	18	290992
CUL9	2	42404
NFASC	17	194169
TOGARAM1	8	112219
TAB2	15	192989
HIC2	0	34058
FLG	2	23029
ATP10B	24	289093
CAMTA2	0	19674
POGZ	2	56742
COLGALT2	8	108083
ATG2A	0	22719
GPATCH8	9	108313
RAD54L2	4	122017
PHF8	4	108457
KDM6B	0	14884
EPB41L3	12	238255
SMC5	7	95912
MAST2	12	232512
ANKLE2	0	36198
DCUN1D4	4	73728
LRCH1	15	199880
ZC3H3	0	103796
SSPOP	0	57923
NACAD	0	8458
MLANA	0	18914
FRMD4B	22	372588
GRAMD4	1	53041
CIC	0	11133
NCDN	0	8988
CLCC1	2	33992
SEPTIN6	0	77646
TBC1D9	8	135536
WDR43	7	53548
SNX13	11	149747
MAPK8IP3	1	64098
GGA3	1	25751
NUP205	4	90838
STAB1	0	29156
EFR3A	8	109531
RTF1	3	66460
FLNB	8	163856
TTLL12	0	20510
GPD1L	6	62205
ABRAXAS2	2	34886
METAP1	1	67173
ZCCHC14	3	85609
LPIN1	4	149829
SEPTIN8	0	27053
CEP68	1	30648
RGL1	28	292459
FLNC	0	28846
RFTN1	9	197871
DIP2A	3	111065
LARP4B	1	124792
RCOR1	3	137918
PHLDB1	2	51536
KANK1	12	275813
FLOT2	0	18359
UBXN4	2	43445
CYFIP1	6	110920
ATG4B	0	36245
GANAB	0	21901
FBXL7	21	439596
MDN1	8	176212
FAM120A	7	114225
FAF2	2	61720
PSME4	2	106774
GSE1	1	64784
FAM168A	12	192201
PMPCA	0	13098
PLEKHM2	2	50438
SYT11	2	25731
JMJD6	1	13968
ZC3H4	1	49563
RRS1	0	1706
SULF1	7	194289
PRRC2C	9	107985
TBC1D1	12	248092
ZFR2	1	65006
NBEAL2	0	30022
FBXO28	1	47961
FLT3	6	97319
DTX4	2	37158
RHOBTB2	1	32781
RRP12	1	44670
NUP210	3	104073
PLCL2	21	287940
ARHGEF9	6	150579
FLT3LG	0	13429
VPS13A	19	240039
TBC1D12	6	133904
DNAJC9	0	6039
SIK2	6	124463
ARC	0	3429
PHLPP1	16	265005
FLT4	2	48119
TMEM131L	6	170365
PACS2	3	97315
COBL	16	300607
ANKRD28	14	192310
PDS5A	10	155094
ASTN2	61	989814
BOP1	1	29065
KATNIP	11	230225
MINAR1	1	39785
OTUD3	1	30550
MTCL1	9	125367
SCFD1	8	113574
DENND5A	6	126499
FMO1	0	37481
CAMTA1	28	984383
PPIP5K2	8	83267
MCF2L	3	131240
ZC3H7B	0	58645
EXOC7	0	22783
ADGRL2	49	686263
DNMBP	7	134343
MGA	2	148378
FMO2	2	27435
TSPYL4	0	4131
CAMSAP2	8	121146
TASOR	3	62976
POFUT2	0	23969
KLHL18	4	63977
CLUH	0	22248
NUP160	2	70388
FMO3	4	26942
MTUS2	30	481337
CSTF2T	0	4110
NA	2	17672
WWC1	10	180244
AGTPBP1	17	195491
IQCE	2	55737
FMO4	1	27738
FBXW11	5	145322
ANKS1A	13	228283
MGRN1	1	66151
BICD2	1	53439
FMO5	6	41347
EHBP1	23	372636
WSCD1	3	55322
KIF13B	9	195816
UBR2	9	129484
ACSL6	10	205187
NEMP1	1	23149
FKBP15	11	110070
ICOSLG	0	14113
SIN3B	2	50956
FMOD	0	10538
DMXL2	12	175047
KIAA0930	0	48528
SATB2	18	201767
SLC9A8	2	79530
CUX2	9	316531
DNAJC13	8	121324
TUT4	9	130183
FMR1	2	39179
TRIM2	9	186205
RPGRIP1L	4	103954
MAN2B2	0	47287
WASHC4	5	61415
USP22	2	44168
NEDD4L	16	357163
SASH1	4	209456
TBC1D30	2	95008
TTC28	37	701852
CLASP1	22	311701
DPY19L1	5	116573
SZT2	4	64363
WDR7	22	378421
SYNM	1	30515
JADE2	0	58853
VPS39	3	49604
AFF2	44	500055
DNAJC16	4	65523
ESYT1	0	16475
SYNE1	47	515716
SMCHD1	6	149130
DOCK9	13	292920
PHF24	0	25021
FN1	4	75613
U2SURP	2	59196
KHNYN	0	12056
SUN1	0	59364
HAUS5	1	12606
VPS8	14	240472
ANGEL1	2	25698
USP24	5	149008
ENTREP2	18	450473
FNBP4	0	50925
PSD3	39	486384
OBSL1	0	20819
MATCAP2	6	65976
LARP1	5	104706
PUM2	4	102011
ARHGEF18	0	89652
CRTC1	1	98719
UFL1	1	33450
RRP8	0	3737
ICE1	5	67562
SRGAP2	7	121584
SMG5	2	33606
AHCYL2	17	205198
MAU2	2	37934
SPECC1L	9	171536
NCSTN	1	15680
NUDCD3	8	108421
SIK3	4	254876
ZDHHC17	7	89621
ECPAS	4	124053
ADNP	2	40645
LARS2	14	160254
NCAPH	1	39791
PPWD1	2	24314
CTDNEP1	0	8354
ATP13A2	1	25971
FRAT2	0	2205
COTL1	1	52466
SIRT5	2	40630
SIRT4	0	10922
SIRT3	1	21902
SIRT1	2	33721
NCS1	3	64727
ZFPM2	36	485621
MLYCD	1	17058
FNTB	2	75867
NOMO1	2	62372
ITGB3BP	5	82504
TMED3	5	100844
GRIP1	25	456684
SLC7A8	4	58366
RYBP	10	72031
TPSD1	0	2222
AP4E1	4	97229
GPR161	2	58126
RHOQ	2	41961
LINC01565	1	4087
ATP1B4	1	21165
OTP	0	9986
SLC35A3	3	57190
SLC44A1	10	193854
SF3B1	2	43074
ANGPTL2	0	35417
ABCB10	3	42114
FOLH1	2	62036
ABCA6	1	63169
CBX6	1	8011
NPTXR	3	25562
CBX5	2	49185
PHF3	3	78681
TRAM1	1	35242
CAPN7	2	46691
ETHE1	1	20526
QPRT	1	18874
BRD4	3	95042
SEC11A	2	46924
ISCU	1	6867
FOLR1	0	6766
SEC61G	0	7000
PES1	2	30389
LEPROTL1	1	42301
CES3	0	13921
TNFRSF13B	0	42554
HAAO	1	25523
MACF1	20	405722
FOLR2	0	5176
DAAM2	7	112495
TMEM131	13	239554
LRRC8B	3	73024
TTC9	1	33574
POFUT1	3	30772
KCTD2	1	33287
NUP188	3	65652
SCRIB	0	24460
SPIDR	30	505164
MORC3	6	56458
SLC39A14	0	66879
MTREX	9	117834
R3HDM1	17	193757
FOLR3	1	4164
ANP32C	0	705
RPL13A	0	4754
KAT6B	16	206210
SRRM2	2	19084
ZNF281	1	3747
CLCF1	0	10010
FOS	0	3457
NNT	6	102878
MMD	2	29368
PRAME	0	11574
PIK3R5	3	86797
TNPO3	3	100994
ADAT1	4	24975
OR52A1	0	939
SLC16A8	0	5027
FOSB	0	7185
SEC14L2	1	28362
MAPK8IP2	0	10849
SYNGR4	0	11984
LILRA4	0	5730
TTC33	1	44395
DNPEP	0	26550
FOSL2	0	23777
PSD4	1	29118
RASD2	1	12694
CDK20	0	8337
HYAL4	2	32309
TSPAN12	3	70804
TSPAN15	1	56198
PIGN	7	142832
SNAPIN	0	3199
WBP2	2	9722
WBP1	0	2492
FPGS	0	19681
GTPBP4	4	29360
CLDN14	3	115948
CHST5	0	16966
LPAR3	4	79811
ZNF346	3	58494
ARL2BP	0	8508
DDAH1	20	259879
FPR2	2	9327
CDC42EP4	0	28381
CASP14	0	8813
CCNDBP1	0	11910
SMUG1	0	8637
VSIG2	0	4740
TMEM50A	0	24064
RIGI	2	71023
KLHDC2	0	15070
CARHSP1	0	16071
FPR3	3	30924
PDSS1	3	49132
FAM215A	0	780
LEMD3	6	78791
HEBP2	0	9247
ORC6	0	8749
ORC3	8	77388
OPN3	6	47250
ACOT9	2	39631
PATZ1	1	20460
CLEC5A	3	19627
CORO1C	5	86442
DAPK2	3	139287
MKRN1	0	26530
MKRN2	0	26698
PHLDA3	0	3693
ZMYND8	2	147094
PYY2	0	1497
SH3BP1	0	32279
TSSK2	0	1816
ZIM2	0	66175
NTSR2	0	12026
BACE1	0	30571
CBLC	0	22778
SPO11	1	14219
BRD7P3	0	2461
KCNE5	0	1465
CA14	0	7263
KPNA6	3	68525
LDOC1	0	1380
SNHG1	0	3901
LY96	0	37744
EDC4	0	11492
PPP1R15A	2	3671
PLD3	0	30059
ARFIP2	0	6797
SSBP3	6	180965
POLA2	1	35657
PLXNB2	0	32594
SLC7A11	9	78256
LSM5	2	9926
PLA2G15	0	15715
ZKSCAN5	1	29173
CEMIP2	4	85519
TMEFF2	17	245873
SMPX	5	52189
SH3BP4	1	103731
SGK3	10	149605
PRKD3	7	66577
KCNE4	0	3710
CADM1	23	335291
GSPT2	0	2846
GABARAPL1	0	10236
TMEM245	4	104811
EID1	0	2091
NPAP1	1	8053
AIPL1	0	11461
SDF2L1	0	2047
PPIL2	2	31930
PISD	2	43776
OSBP2	7	214043
MAFF	0	14579
IL17RA	1	30736
FLRT3	1	13675
FLRT2	7	97783
FLRT1	0	15284
FKBP8	1	11816
BRD1	0	54260
ARHGAP8	3	110227
APOL2	1	13746
AP1B1P1	0	11493
ANKRD62P1-PARP4P3	0	21832
POTEH	2	31606
BCL2L13	4	101940
MTCH1	0	18417
MTCH2	0	25349
ALOX12	1	14672
FXN	0	64616
ABCA4	12	128312
ALOX5	3	71944
ALOX5AP	3	50951
KIF4A	8	130896
IFIT5	0	6435
EML2	1	36118
FTSJ1	1	10204
LAMP5	1	16167
PANX1	1	53044
CLDN15	0	6729
FJX1	0	2687
ZNF318	6	58311
ALOX12B	1	15068
NA	0	23728
FRK	13	119229
ALOX12P2	4	46774
MS4A6E	1	6087
VGLL2	0	8008
CNPY4	0	5864
DEFB107A	1	13466
DEFB108B	0	4363
DEFB109A	0	7082
DEFB110	1	12844
DEFB112	0	5077
DEFB113	0	949
DEFB114	0	3814
DEFB116	0	5374
DEFB119	0	13487
DEFB121	0	7994
DEFB122	0	7742
DEFB123	1	9650
DEFB125	0	8946
DEFB128	0	1738
DEFB130A	12	253928
ATP6V1C2	4	63462
ALOX15	0	11376
TTTY10	6	53561
TXLNGY	3	39821
